suspect_norad,suspect_name,asset_norad,asset_name,min_distance_km,cointegration_pvalue,pair_risk,risk_level
41727,GAOFEN-3,35951,DMSP 5D-3 F18 (USA 210),91.418,0.077584,0.8774,CRITICAL
32289,YAOGAN-3,31598,COSMO-SKYMED 1,19.749,0.593081,0.6893,ELEVATED
41727,GAOFEN-3,28054,DMSP 5D-3 F16 (USA 172),92.891,0.269,0.672,ELEVATED
41038,YAOGAN-29,31598,COSMO-SKYMED 1,44.189,0.507658,0.6596,ELEVATED
41038,YAOGAN-29,35951,DMSP 5D-3 F18 (USA 210),223.09,0.000334,0.6502,ELEVATED
41727,GAOFEN-3,31598,COSMO-SKYMED 1,175.86,0.277946,0.5944,ELEVATED
39208,SHIYAN-7 (SY-7),31598,COSMO-SKYMED 1,78.337,0.722676,0.5915,ELEVATED
32289,YAOGAN-3,35951,DMSP 5D-3 F18 (USA 210),247.529,0.259493,0.5843,ELEVATED
39150,GAOFEN-1,31598,COSMO-SKYMED 1,64.979,0.608621,0.5503,ELEVATED
39150,GAOFEN-1,31698,TERRASAR-X,131.879,0.404203,0.5383,WATCH
39208,SHIYAN-7 (SY-7),35951,DMSP 5D-3 F18 (USA 210),188.941,0.578271,0.5367,WATCH
39150,GAOFEN-1,25544,ISS (ZARYA),275.979,0.282235,0.5191,WATCH
39208,SHIYAN-7 (SY-7),28054,DMSP 5D-3 F16 (USA 172),190.414,0.746903,0.47,WATCH
32289,YAOGAN-3,31698,TERRASAR-X,86.65,0.907554,0.4304,WATCH
48274,CSS (TIANHE),31698,TERRASAR-X,187.364,0.664483,0.4137,WATCH
48865,COSMOS 2550,31598,COSMO-SKYMED 1,179.759,0.739631,0.4049,WATCH
41038,YAOGAN-29,31698,TERRASAR-X,111.089,0.930895,0.3995,WATCH
48865,COSMOS 2550,31698,TERRASAR-X,745.909,0.075976,0.3547,WATCH
43603,BEIDOU-3 M11,39166,NAVSTAR 68 (USA 242),1346.208,7.8e-05,0.3378,LOW
43603,BEIDOU-3 M11,28874,GPS BIIRM-1 (PRN 17),1346.171,0.0,0.3213,LOW
40258,LUCH (OLYMP-K 1),39166,NAVSTAR 68 (USA 242),2000.0,0.001016,0.3172,LOW
55841,LUCH-5X (OLYMP-K 2),39166,NAVSTAR 68 (USA 242),2000.0,0.0,0.3075,LOW
55841,LUCH-5X (OLYMP-K 2),31698,TERRASAR-X,2000.0,0.0,0.3058,LOW
55841,LUCH-5X (OLYMP-K 2),35951,DMSP 5D-3 F18 (USA 210),2000.0,1e-06,0.3057,LOW
43603,BEIDOU-3 M11,25544,ISS (ZARYA),2000.0,0.000118,0.3055,LOW
40258,LUCH (OLYMP-K 1),31698,TERRASAR-X,2000.0,0.02138,0.3034,LOW
48274,CSS (TIANHE),28054,DMSP 5D-3 F16 (USA 172),778.305,0.230861,0.3022,LOW
40258,LUCH (OLYMP-K 1),28874,GPS BIIRM-1 (PRN 17),2000.0,0.061207,0.285,LOW
48274,CSS (TIANHE),35951,DMSP 5D-3 F18 (USA 210),558.562,0.503776,0.2726,LOW
48865,COSMOS 2550,35951,DMSP 5D-3 F18 (USA 210),417.551,0.777522,0.2474,LOW
50321,SHIYAN-12 01 (SY-12 01),28054,DMSP 5D-3 F16 (USA 172),2000.0,0.42818,0.215,LOW
50321,SHIYAN-12 01 (SY-12 01),31598,COSMO-SKYMED 1,2000.0,0.541563,0.2136,LOW
50321,SHIYAN-12 01 (SY-12 01),35951,DMSP 5D-3 F18 (USA 210),2000.0,0.78022,0.1471,LOW
